2018-06-26 00:00:00.7066 | INFO | Eshop.Controllers.HomeController | Get goods from category: Monitors | 
2018-06-26 00:00:01.2105 | INFO | Eshop.Controllers.HomeController | Try to apply filters | 
2018-06-26 00:00:01.2623 | INFO | Eshop.Controllers.HomeController | Sort goods success | 
2018-06-26 00:00:01.2681 | INFO | Eshop.Controllers.HomeController | Filters applied successfully | 
2018-06-26 00:00:02.6382 | INFO | Eshop.Controllers.HomeController | Get goods from category: CellPhones | 
2018-06-26 00:00:03.1539 | INFO | Eshop.Controllers.HomeController | Try to apply filters | 
2018-06-26 00:00:03.1988 | INFO | Eshop.Controllers.HomeController | Sort goods success | 
2018-06-26 00:00:03.2066 | INFO | Eshop.Controllers.HomeController | Filters applied successfully | 
2018-06-26 00:00:10.6373 | INFO | Eshop.Controllers.HomeController | Try to apply filters | 
2018-06-26 00:00:10.6764 | INFO | Eshop.Controllers.HomeController | Sort goods success | 
2018-06-26 00:00:10.6764 | INFO | Eshop.Controllers.HomeController | Filters applied successfully | 
2018-06-26 00:00:13.1578 | INFO | Eshop.Controllers.HomeController | Try to apply filters | 
2018-06-26 00:00:13.2057 | INFO | Eshop.Controllers.HomeController | Sort goods success | 
2018-06-26 00:00:13.2057 | INFO | Eshop.Controllers.HomeController | Filters applied successfully | 
2018-06-26 00:00:23.1129 | INFO | Eshop.Controllers.HomeController | Get goods from category: All | 
2018-06-26 00:00:23.3795 | INFO | Eshop.Controllers.HomeController | Try to apply filters | 
2018-06-26 00:00:23.4215 | INFO | Eshop.Controllers.HomeController | Sort goods success | 
2018-06-26 00:00:23.4215 | INFO | Eshop.Controllers.HomeController | Filters applied successfully | 
2018-06-26 00:00:27.2262 | INFO | Eshop.Controllers.HomeController | Get goods from category: All | 
2018-06-26 00:00:27.5036 | INFO | Eshop.Controllers.HomeController | Try to apply filters | 
2018-06-26 00:00:27.5436 | INFO | Eshop.Controllers.HomeController | Sort goods success | 
2018-06-26 00:00:27.5505 | INFO | Eshop.Controllers.HomeController | Filters applied successfully | 
2018-06-26 00:00:35.3191 | INFO | Eshop.Controllers.HomeController | Get goods from category: All | 
2018-06-26 00:00:35.5827 | INFO | Eshop.Controllers.HomeController | Try to apply filters | 
2018-06-26 00:00:35.6374 | INFO | Eshop.Controllers.HomeController | Sort goods success | 
2018-06-26 00:00:35.6462 | INFO | Eshop.Controllers.HomeController | Filters applied successfully | 
2018-06-26 00:00:39.7790 | INFO | Eshop.Controllers.HomeController | Get goods from category: All | 
2018-06-26 00:00:40.0261 | INFO | Eshop.Controllers.HomeController | Try to apply filters | 
2018-06-26 00:00:40.0759 | INFO | Eshop.Controllers.HomeController | Sort goods success | 
2018-06-26 00:00:40.0828 | INFO | Eshop.Controllers.HomeController | Filters applied successfully | 
2018-06-26 00:00:41.2576 | INFO | Eshop.Controllers.HomeController | Get goods from category: All | 
2018-06-26 00:00:41.6482 | INFO | Eshop.Controllers.HomeController | Try to apply filters | 
2018-06-26 00:00:41.6990 | INFO | Eshop.Controllers.HomeController | Sort goods success | 
2018-06-26 00:00:41.7078 | INFO | Eshop.Controllers.HomeController | Filters applied successfully | 
2018-06-26 00:00:49.4148 | INFO | Eshop.Controllers.HomeController | Get goods from category: All | 
2018-06-26 00:00:49.8758 | INFO | Eshop.Controllers.HomeController | Try to apply filters | 
2018-06-26 00:00:49.9324 | INFO | Eshop.Controllers.HomeController | Sort goods success | 
2018-06-26 00:00:49.9432 | INFO | Eshop.Controllers.HomeController | Filters applied successfully | 
2018-06-26 00:00:57.9510 | INFO | Eshop.Controllers.HomeController | Get goods from category: All | 
2018-06-26 00:00:58.3338 | INFO | Eshop.Controllers.HomeController | Try to apply filters | 
2018-06-26 00:00:58.3807 | INFO | Eshop.Controllers.HomeController | Sort goods success | 
2018-06-26 00:00:58.3807 | INFO | Eshop.Controllers.HomeController | Filters applied successfully | 
2018-06-26 00:01:37.8028 | INFO | Eshop.Controllers.HomeController | Get goods from category: All | 
2018-06-26 00:01:38.2373 | INFO | Eshop.Controllers.HomeController | Try to apply filters | 
2018-06-26 00:01:38.3018 | INFO | Eshop.Controllers.HomeController | Sort goods success | 
2018-06-26 00:01:38.3018 | INFO | Eshop.Controllers.HomeController | Filters applied successfully | 
2018-06-26 00:01:49.9298 | INFO | Eshop.Controllers.HomeController | Try to apply filters | 
2018-06-26 00:01:49.9786 | INFO | Eshop.Controllers.HomeController | Sort goods success | 
2018-06-26 00:01:49.9884 | INFO | Eshop.Controllers.HomeController | Filters applied successfully | 
2018-06-26 00:01:55.8751 | INFO | Eshop.Controllers.HomeController | Try to apply filters | 
2018-06-26 00:01:55.9220 | INFO | Eshop.Controllers.HomeController | Sort goods success | 
2018-06-26 00:01:55.9220 | INFO | Eshop.Controllers.HomeController | Filters applied successfully | 
2018-06-26 00:01:58.1066 | INFO | Eshop.Controllers.HomeController | Try to apply filters | 
2018-06-26 00:01:58.1613 | INFO | Eshop.Controllers.HomeController | Sort goods success | 
2018-06-26 00:01:58.1613 | INFO | Eshop.Controllers.HomeController | Filters applied successfully | 
2018-06-26 00:02:11.5500 | INFO | Eshop.MvcApplication | Application Dispose | 
2018-06-26 00:02:41.5629 | INFO | Eshop.MvcApplication | Application Dispose | 
2018-06-26 00:04:48.1426 | INFO | Eshop.MvcApplication | Application Start | 
2018-06-26 00:04:49.1592 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-26 00:04:49.2305 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-26 00:04:56.5694 | INFO | Eshop.Controllers.HomeController | Get goods from category: All | 
2018-06-26 00:05:01.4024 | INFO | Eshop.Controllers.HomeController | Try to apply filters | 
2018-06-26 00:05:01.5401 | INFO | Eshop.Controllers.HomeController | Sort goods success | 
2018-06-26 00:05:01.5538 | INFO | Eshop.Controllers.HomeController | Filters applied successfully | 
2018-06-26 00:05:01.7042 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-26 00:05:01.7042 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-26 00:05:01.7042 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-26 00:05:49.0267 | INFO | Eshop.MvcApplication | Application Start | 
2018-06-26 00:05:49.9603 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-26 00:05:49.9837 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-26 00:05:53.3431 | INFO | Eshop.Controllers.HomeController | Get goods from category: All | 
2018-06-26 00:05:58.3050 | INFO | Eshop.Controllers.HomeController | Try to apply filters | 
2018-06-26 00:05:58.4642 | INFO | Eshop.Controllers.HomeController | Sort goods success | 
2018-06-26 00:05:58.4818 | INFO | Eshop.Controllers.HomeController | Filters applied successfully | 
2018-06-26 00:05:58.6390 | INFO | Eshop.MvcApplication | Application Init | 
