2018-06-25 12:24:32.1871 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:24:32.2789 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:24:32.4146 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:24:34.8121 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:24:35.6412 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:24:36.0846 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:25:22.2606 | INFO | Eshop.MvcApplication | Application Start | 
2018-06-25 12:25:23.5721 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-25 12:25:23.6180 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-25 12:25:28.0077 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:25:28.2284 | INFO | Eshop.Controllers.HomeController | Get goods from category:  | 
2018-06-25 12:25:33.5536 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:25:33.7850 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-25 12:25:33.8241 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-25 12:26:14.8790 | INFO | Eshop.MvcApplication | Application Dispose | 
2018-06-25 12:26:44.8957 | INFO | Eshop.MvcApplication | Application Dispose | 
2018-06-25 12:28:08.1393 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:28:08.2135 | ERROR | Eshop.Controllers.HomeController |  | System.Exception: Exception of type 'System.Exception' was thrown.
   at Eshop.Controllers.HomeController.AddToCart(Nullable`1 goodId) in C:\Users\Алексей\Desktop\Eshop - Copy - Copy (2)\Eshop\Controllers\HomeController.cs:line 124
2018-06-25 12:28:19.9870 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:28:20.0388 | ERROR | Eshop.Controllers.HomeController |  | System.Exception: Exception of type 'System.Exception' was thrown.
   at Eshop.Controllers.HomeController.AddToCart(Nullable`1 goodId) in C:\Users\Алексей\Desktop\Eshop - Copy - Copy (2)\Eshop\Controllers\HomeController.cs:line 124
2018-06-25 12:28:22.3493 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:28:22.4001 | ERROR | Eshop.Controllers.HomeController |  | System.Exception: Exception of type 'System.Exception' was thrown.
   at Eshop.Controllers.HomeController.AddToCart(Nullable`1 goodId) in C:\Users\Алексей\Desktop\Eshop - Copy - Copy (2)\Eshop\Controllers\HomeController.cs:line 124
2018-06-25 12:28:24.5983 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:28:24.6491 | ERROR | Eshop.Controllers.HomeController |  | System.Exception: Exception of type 'System.Exception' was thrown.
   at Eshop.Controllers.HomeController.AddToCart(Nullable`1 goodId) in C:\Users\Алексей\Desktop\Eshop - Copy - Copy (2)\Eshop\Controllers\HomeController.cs:line 124
2018-06-25 12:29:31.9209 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:29:31.9971 | ERROR | Eshop.Controllers.HomeController |  | System.Exception: Exception of type 'System.Exception' was thrown.
   at Eshop.Controllers.HomeController.AddToCart(Nullable`1 goodId) in C:\Users\Алексей\Desktop\Eshop - Copy - Copy (2)\Eshop\Controllers\HomeController.cs:line 124
2018-06-25 12:29:33.9053 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:29:33.9249 | INFO | Eshop.Controllers.HomeController | Get goods from category:  | 
2018-06-25 12:29:37.6563 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:29:37.8194 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-25 12:29:37.8194 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-25 12:29:38.4630 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:29:38.5137 | ERROR | Eshop.Controllers.HomeController |  | System.Exception: Exception of type 'System.Exception' was thrown.
   at Eshop.Controllers.HomeController.AddToCart(Nullable`1 goodId) in C:\Users\Алексей\Desktop\Eshop - Copy - Copy (2)\Eshop\Controllers\HomeController.cs:line 124
2018-06-25 12:29:39.0245 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:29:39.0245 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:29:39.1798 | ERROR | Eshop.Controllers.HomeController |  | System.Exception: Exception of type 'System.Exception' was thrown.
   at Eshop.Controllers.HomeController.AddToCart(Nullable`1 goodId) in C:\Users\Алексей\Desktop\Eshop - Copy - Copy (2)\Eshop\Controllers\HomeController.cs:line 124
2018-06-25 12:29:39.2628 | ERROR | Eshop.Controllers.HomeController |  | System.Exception: Exception of type 'System.Exception' was thrown.
   at Eshop.Controllers.HomeController.AddToCart(Nullable`1 goodId) in C:\Users\Алексей\Desktop\Eshop - Copy - Copy (2)\Eshop\Controllers\HomeController.cs:line 124
2018-06-25 12:29:45.1232 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:29:45.1984 | ERROR | Eshop.Controllers.HomeController |  | System.Exception: Exception of type 'System.Exception' was thrown.
   at Eshop.Controllers.HomeController.AddToCart(Nullable`1 goodId) in C:\Users\Алексей\Desktop\Eshop - Copy - Copy (2)\Eshop\Controllers\HomeController.cs:line 124
2018-06-25 12:33:22.8224 | INFO | Eshop.MvcApplication | Application Start | 
2018-06-25 12:33:24.8488 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-25 12:33:24.9259 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-25 12:33:43.7092 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:33:43.9357 | INFO | Eshop.Controllers.HomeController | Get goods from category:  | 
2018-06-25 12:33:53.0256 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:33:53.3840 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-25 12:33:53.3840 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-25 12:33:57.5628 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:33:57.5628 | INFO | Eshop.Controllers.HomeController | Get goods from category:  | 
2018-06-25 12:33:58.4456 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:34:01.3704 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-25 12:34:01.5149 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-25 12:34:01.6839 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:34:01.6839 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:34:01.7034 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:34:01.6839 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:34:01.6839 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:34:04.8518 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:34:04.8518 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:34:04.8724 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:34:04.9349 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:34:07.0735 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:34:30.8188 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:34:30.8422 | INFO | Eshop.Controllers.HomeController | Get goods from category:  | 
2018-06-25 12:34:33.0375 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:34:36.2865 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:34:36.3403 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:34:37.4496 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:34:37.9311 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:34:38.4750 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:34:40.5581 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:34:40.5620 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:34:40.7739 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:34:41.7915 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:34:41.8881 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:34:42.0795 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:34:46.5425 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:34:46.5591 | INFO | Eshop.Controllers.HomeController | Get goods from category:  | 
2018-06-25 12:34:48.5132 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:34:52.1519 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:34:52.1860 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:34:54.4937 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:34:54.5064 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:34:54.6333 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:34:54.8882 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:34:55.6460 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:34:55.9624 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:34:56.5396 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:34:57.9458 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:34:57.9615 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:34:59.8492 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:34:59.8492 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:34:59.8492 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:35:00.1548 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:35:00.6372 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:35:00.6978 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:35:01.1744 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:35:01.5845 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:35:01.9624 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:35:01.9624 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:35:02.0464 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:35:02.3267 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:35:02.8345 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:35:02.9195 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:35:03.1851 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-25 12:35:03.1851 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:35:03.1851 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:35:03.8365 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:35:07.4595 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:35:07.5230 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:35:07.5855 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:35:08.1021 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:35:08.1217 | INFO | Eshop.Controllers.HomeController | Get goods from category:  | 
2018-06-25 12:35:09.6402 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:35:13.4264 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:35:13.6666 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:35:14.4830 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:35:15.7408 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:35:15.7652 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:35:15.7838 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:35:21.9782 | INFO | Eshop.Controllers.HomeController | Costructor | 
2018-06-25 12:35:24.6735 | INFO | Eshop.Controllers.HomeController | Costructor | 
